,이름,장르,총합 별점,관심수,평균 조회수,평균 업로드 간격,평균 공백 제거 글자수,평균 댓글 수,Target
0,임신 계략,로맨스,9.98,2179,24000.0,1.5,3619.0,3.8,1
1,제국의 하인,로맨스,9.99,2135,22000.0,0.25,4637.8,10.0,1
2,"첫사랑, 첫이별, 첫아이",로맨스,9.99,1549,14000.0,4.0,3924.0,11.2,1
3,못난이 아내,로맨스,9.98,1136,9799.6,1.25,3333.0,0.8,1
4,남편의 체온,로맨스,9.97,1482,20000.0,1.0,5098.8,9.6,1
5,질 나쁜 계약 남편,로맨스,9.98,849,8286.0,0.5,4225.6,3.0,1
6,낫 유어 프렌드,로맨스,9.99,1979,12000.0,0.5,3983.8,3.8,1
7,누구도 녀석을 막을 수 없다,로맨스,9.99,1693,12000.0,1.0,5179.2,10.0,1
8,교환 아내,로맨스,9.99,734,7645.4,0.25,3626.2,1.8,1
9,6년 만에 신혼,로맨스,9.97,1349,16000.0,0.75,3617.6,3.8,1
10,계약이 끝나는 날,로맨스,9.99,703,6774.4,0.75,4848.8,0.8,1
11,언니의 남편과 결혼했다,로맨스,9.98,506,4289.0,0.5,3057.4,0.8,1
12,"오직, 너에게만 본능적",로맨스,9.94,861,7384.0,1.0,4364.2,1.2,1
13,전무님과 아이를 키웁니다,로맨스,9.99,1481,14000.0,0.5,3371.4,5.4,1
14,유리구두의 정원,로맨스,10.0,1140,5097.2,1.0,4657.0,5.6,1
15,그 남자의 공개연애,로맨스,9.97,640,6403.4,12.5,4136.0,3.8,1
16,이 사랑을 멈출 수 없다,로맨스,9.46,785,4718.8,1.0,3828.0,1.6,1
17,후회는 당신의 몫,로맨스,9.94,313,2868.8,1.0,3100.0,1.2,1
18,몽환의 밤,로맨스,9.99,585,4713.4,1.5,3902.0,2.6,1
19,좋은 어른들(부제: 오빠 아니고 짐승),로맨스,9.97,708,7283.6,1.5,5720.2,5.2,1
20,제가 뱁새에요?,로판,9.97,123,2460.2,0.25,2099.8,6.6,1
21,그냥 용병 출신 하녀일 뿐인데....,로판,9.99,696,12000.0,5.5,2800.6,3.2,1
22,시한부인줄 알고 남주와 첫날밤을 보냈습니다,로판,9.98,1371,22000.0,1.0,3764.6,9.4,1
23,그 악녀의 복수극,로판,10.0,603,7405.6,0.25,3849.4,2.4,1
24,가짜공녀에게 복수를,로판,10.0,1060,12000.0,0.0,4925.8,7.2,1
25,상냥한 농부 남편이 날 죽일 폭군이었다,로판,10.0,408,5016.6,0.75,3599.2,5.0,1
26,공작님의 저주는 제가 풀어드리겠습니다!,로판,9.99,1211,11776.2,1.25,4176.2,12.2,1
27,아무튼 열심히 살아보겠습니다!,로판,9.98,415,4170.0,0.75,4461.0,0.6,1
28,불행을 먹고 회귀한 악녀는 오늘도 무럭무럭 자란다.,로판,10.0,186,2205.2,1.0,3450.6,0.0,1
29,미친 짐승의 신부가 되었다,로판,9.97,644,7363.8,0.25,4178.6,3.4,1
30,"하녀인데, 대공작의 정부가 되어버렸다.",로판,10.0,362,5941.0,2.0,4220.6,1.4,1
31,남편은 계속 남의 편이나 하세요,로판,9.98,100,1747.4,0.75,4100.6,0.0,1
